ITEM_TYPE,PRODUCT,MONTH,QUANTITY_PURCHASED,SALES
Shorts,Plaid shorts-7 in.,1754006400,59,2062.05
Vests,High tide vest,1756684800,1838,119378.1
Shirts,Lost coast t-shirt,1756684800,384,7276.8
Skirts,Malaga skirt,1756684800,1578,86711.1
Shirts,Kat 1 crew,1756684800,663,23171.85
Shirts,All weather training top,1756684800,333,12637.35
Sweaters,Micro deluxe cardigan,1756684800,929,46403.55
Jackets,Baby reversible jacket,1756684800,105,7974.75
Swimwear,S/s rashguard,1759276800,1523,37998.85
Shirts,Kat 1 graphic crew,1759276800,813,28414.35
Shirts,Polo shirt,1759276800,757,26457.15
Shirts,Swordfish t-shirt,1759276800,190,3600.5
Shorts,Rivermaster shorts,1759276800,1160,57942
Shirts,Maui shirt,1761955200,330,6253.5
Dresses,Tropical hemp dress,1754006400,2023,131393.85
Pants,Chapparal pants,1754006400,396,21760.2
Pants,Peace sign capris,1754006400,585,26295.75
Skirts,Iris skirt,1754006400,1706,85214.7
Jeans,Relax fit organic ctn jeans-short,1754006400,1791,98415.45
Shirts,Merino hip tank,1754006400,225,4263.75
Pants,Nylon twill pants,1756684800,480,26376
Shirts,Tropical island t-shirt,1756684800,817,15482.15
Underwear,Active mesh bra,1756684800,1266,53108.7
Shorts,Heavy duty shorts,1756684800,1875,84281.25
Jackets,Andorra hooded jacket,1756684800,213,19159.35
Shirts,Polo shirt,1756684800,692,24185.4
Shorts,Hi-tech shorts,1756684800,299,13440.05
Pants,Tropical hemp pants,1759276800,1183,70920.85
Underwear,Active sport boxer briefs,1759276800,1239,19762.05
Shorts,Heavy duty shorts,1759276800,2035,91473.25
Jackets,Adventure jacket,1759276800,698,66275.1
Pants,Nylon twill zip-off pants,1759276800,332,16583.4
Pants,Heavy duty pants,1759276800,187,12145.65
Shirts,Sleeveless a/c shirt,1759276800,264,5002.8
Sweatshirts,Kat 2 zip neck,1761955200,1853,64762.35
Swimwear,Ibiza top,1761955200,1042,31207.9
Shirts,Motorcycle t-shirt,1761955200,596,11294.2
Shirts,Journeyman t-shirt,1761955200,283,5362.85
Shirts,On Vacation t-shirt,1761955200,535,10138.25
Jackets,Yosemite jacket,1761955200,2087,198160.65
Shirts,Ranch organic polo,1761955200,384,13420.8
Shirts,Silhouette t-shirt,1761955200,260,4927
Sweatshirts,Kat 4 zip neck,1764547200,3749,168517.55
Jeans,Reg fit organic ctn jeans-short,1764547200,3329,182928.55
Shirts,Fly fishing silhouette t-shirt,1764547200,773,14648.35
Shirts,Baby playtime t-shirt,1764547200,260,3367
Headwear,Fisherman cap,1764547200,313,9374.35
Shorts,All-wear shorts,1764547200,1639,68756.05
Shirts,Girl's dolphin t-shirt,1764547200,564,10687.8
Shirts,Vampire bat t-shirt,1764547200,706,13378.7
Shirts,Sport top,1764547200,537,13398.15
Skirts,Multi use skirt,1764547200,1957,78182.15
Shirts,Sleeveless a/c shirt,1764547200,200,3790
Pants,Multi-purpose pants,1764547200,247,16042.65
Sweatshirts,F1 hoody,1767225600,2855,185432.25
Jeans,Relax fit organic ctn jeans-short,1767225600,2653,145782.35
Bags,Hip pack,1767225600,1522,60803.9
Skirts,Langkawi skirt,1767225600,1987,79380.65
Jackets,Rain star jacket,1767225600,2315,277684.25
Shirts,Rivermaster shirt,1767225600,655,16342.25
Shorts,Rivermaster shorts,1767225600,539,26923.05
Jackets,F1 full-zip jacket,1769904000,1057,121502.15
Sweaters,Micro deluxe cardigan,1769904000,3366,168131.7
Swimwear,Solid toro bottom,1769904000,515,10274.25
Jeans,Reg fit organic ctn jeans-reg,1772323200,3490,191775.5
Socks,Hiking crew liner socks,1772323200,3328,39769.6
Shirts,White hot t-shirt,1772323200,529,10024.55
Shirts,Ranch organic tee,1772323200,347,8657.65
Sweaters,All-around cardi,1772323200,2302,114984.9
Swimwear,Ibiza top,1772323200,412,12339.4
Headwear,Bucket hat,1772323200,2121,52918.95
Headwear,Trim brim hat,1775001600,1410,35179.5
Shirts,Kat 1 crew,1775001600,499,17440.05
Sweatshirts,Kat 4 zip neck,1777593600,2824,126938.8
Vests,Synch vest,1777593600,2935,205303.25
Jeans,Reg fit organic ctn jeans-reg,1777593600,3258,179027.1
Shirts,Sport top,1777593600,527,13148.65
Shirts,Merino comfort t-shirt,1777593600,241,6735.95
Jackets,Chamonix jacket,1780272000,500,38975
Pants,Solid pants,1780272000,359,23317.05
Shirts,Small logo pkt t-shirt,1738368000,347,6922.65
Swimwear,Solid barbados bottom,1754006400,620,12369
Shirts,Langkawi tank,1756684800,246,6137.7
Shirts,Seaside t-shirt,1756684800,563,10668.85
Dresses,Sunshine dress,1756684800,1564,93761.8
Socks,Hiking crew socks,1759276800,782,9344.9
Headwear,Baby rainbow bucket hat,1767225600,899,22430.05
Pants,Multi-purpose pants,1754006400,155,10067.25
Shirts,Text logo t-shirt,1754006400,116,2198.2
Pants,Merino comfort bottoms,1756684800,601,24009.95
Swimwear,Tropical hemp top,1756684800,1700,50915
Shirts,Merino comfort crew,1756684800,582,15102.9
Headwear,Trim brim hat,1756684800,1380,34431
Jackets,Lost trails jacket,1756684800,497,42220.15
Shorts,Board shorts,1756684800,1086,48815.7
Shirts,Merino comfort t-shirt,1756684800,284,7937.8
Vests,Micro smooth vest,1756684800,1413,105904.35
Swimwear,Solid barbados bottom,1756684800,574,11451.3
Vests,Rivermaster vest,1759276800,1351,101257.45
Swimwear,Rashguard,1759276800,2578,51431.1
Shirts,L/s sunshine shirt,1759276800,423,10976.85
Bags,Rivermaster duffle,1759276800,3043,258502.85
Headwear,Fisherman cap,1759276800,353,10572.35
Jackets,Track jacket,1759276800,1195,77615.25
Sweaters,Down sweater,1759276800,1620,97119
Shirts,Pinback top,1759276800,972,38831.4
Shorts,Plaid shorts-5 in.,1759276800,653,22822.35
Shorts,One-stripe board shorts,1759276800,233,6978.35
Underwear,Mozambique everyday bra (b/c),1759276800,1701,61150.95
Pants,T5 pants,1761955200,1989,129185.55
Pants,Peace sign capris,1761955200,696,31285.2
Swimwear,Solid toro bottom,1761955200,1280,25536
Swimwear,Malaga bottom,1761955200,1579,31501.05
Shirts,Kat 1 crew,1761955200,633,22123.35
Bags,Travel pack,1761955200,2244,213067.8
Headwear,Bucket hat,1761955200,2138,53343.1
Skirts,Buenos Aires skirt,1761955200,720,28764
Underwear,Active classic boxers,1761955200,1358,21660.1
Underwear,Active sport briefs,1761955200,1121,17879.95
Jackets,F2 jacket,1761955200,950,109202.5
Swimwear,St Tropez halter top,1761955200,1394,27810.3
Shirts,All weather training top,1761955200,305,11574.75
Jackets,Micro smooth jacket,1761955200,755,60362.25
Shirts,World tour t-shirt,1761955200,305,5779.75
Shirts,Surfer t-shirt,1761955200,58,1099.1
Socks,Endurance quarter socks,1764547200,872,10420.4
Socks,Hi-tech hw mountaineering socks,1764547200,3300,39435
Shirts,Kat 2 t-shirt,1764547200,263,4983.85
Shirts,S/s octopus shirt,1764547200,688,15101.6
Shorts,Active boy shorts,1764547200,598,17312.1
Jackets,Heavy sweater jacket,1764547200,2208,152241.6
Jackets,Reversible jacket,1764547200,2183,152700.85
Sweaters,Micro deluxe cardigan,1764547200,3395,169580.25
Pants,Merino comfort bottoms,1764547200,830,33158.5
Shirts,Trailblazer t-shirt,1764547200,773,14648.35
Shorts,California shorts,1764547200,926,41623.7
Pants,Havana capri leggings,1767225600,1409,35154.55
Pants,Rain star pants,1767225600,684,58105.8
Pants,Two-tone cargo pants,1767225600,545,35397.75
Swimwear,Daisy top,1767225600,536,21413.2
Shorts,Duck shorts,1767225600,948,42612.6
Shorts,Lakefront shorts,1767225600,1174,52771.3
Jackets,Rainbow jacket,1767225600,3204,240139.8
Jackets,Rivermaster jacket,1767225600,2536,266153.2
Pants,All weather capris,1767225600,1847,84869.65
Shirts,Umbrella t-shirt,1767225600,355,6727.25
Dresses,Iris dress,1767225600,1557,101127.15
Headwear,Trim brim hat,1767225600,1459,36402.05
Shirts,Small logo pkt t-shirt,1767225600,430,8578.5
Shirts,Merino hip t-shirt 1,1767225600,197,3733.15
Pants,Tortoise shell pants,1767225600,253,13649.35
Shirts,Baby seahorse t-shirt,1767225600,642,8313.9
Pants,Kat 4 bottoms,1769904000,1795,80685.25
Jeans,Relax fit organic ctn jeans-short,1769904000,2547,139957.65
Shirts,Vampire bat t-shirt,1769904000,518,9816.1
Shorts,All-wear shorts,1769904000,736,30875.2
Sweaters,Baby striped cardigan,1769904000,1094,38235.3
Skirts,Malaga skirt,1769904000,933,51268.35
Shirts,Banjo t-shirt,1769904000,440,8338
Shirts,All-around tee,1769904000,410,7769.5
Dresses,Langkawi dress,1769904000,341,15327.95
Shirts,Merino comfort t-shirt,1769904000,174,4863.3
Socks,Everyday socks,1772323200,937,11197.15
Headwear,Fastback visor,1772323200,1991,39720.45
Shorts,Short shorts,1772323200,124,5573.8
Pants,Old school pants,1772323200,1048,68067.6
Shorts,Nice messenger shorts,1772323200,271,12181.45
Shirts,Ladybug t-shirt,1772323200,85,1610.75
Swimwear,Ibiza top,1775001600,430,12878.5
Bags,Travel duffel,1775001600,1965,196401.75
Underwear,Mozambique everyday bra (b/c),1775001600,1637,58850.15
Underwear,Active sport boxer briefs,1775001600,1182,18852.9
Jackets,Micro smooth jacket,1775001600,1026,82028.7
Shorts,Roma shorts,1775001600,674,30296.3
Shirts,Small logo pkt t-shirt,1775001600,421,8398.95
Pants,Tropical hemp pants,1777593600,1378,82611.1
Socks,Hi-tech hiking crew socks,1777593600,2320,27724
Swimwear,St Tropez halter top,1777593600,807,16099.65
Shirts,L/s owl shirt,1777593600,708,18372.6
Swimwear,S/s rashguard,1780272000,443,11052.85
Headwear,Kat 2 cap sleeve,1780272000,1310,52334.5
Skirts,Langkawi skirt,1780272000,1258,50257.1
Jackets,Stretch climber jacket,1780272000,546,43652.7
Pants,T5 pants,1780272000,909,59039.55
Shirts,Seagull t-shirt,1780272000,155,2937.25
Sweatshirts,Cotton fleece hoody,1738368000,1702,85014.9
Bags,Rivermaster duffle,1738368000,2280,193686
Shirts,S/s stringray shirt,1756684800,259,5685.05
Jeans,Relax fit organic ctn jeans-long,1761955200,1845,101382.75
Vests,Baby striped vest,1761955200,94,3285.3
Pants,Buenos Aires pants,1764547200,520,28574
Shirts,Ranch organic tank,1764547200,91,2270.45
Shorts,Worldwide shorts,1764547200,977,43916.15
Sweatshirts,Kat 2 v-neck,1767225600,3424,64884.8
Pants,Rivermaster pants,1769904000,669,50141.55
Shirts,S/s a/c shirt,1769904000,150,3292.5
Shorts,Nice gi shorts,1769904000,623,28003.85
Shirts,Killer whale t-shirt,1769904000,245,4642.75
Shirts,Journeyman t-shirt,1769904000,169,3202.55
Shirts,Polo shirt,1772323200,402,14049.9
Shorts,Baby ruffles shorts,1772323200,388,15500.6
Jackets,Lost trails jacket,1775001600,1377,116976.15
Shirts,Amalfi coast top,1775001600,455,9077.25
Pants,Kat 3 bottoms,1775001600,806,36229.7
Sweatshirts,Hooded warrior sweatshirt,1777593600,3193,111595.35
Shorts,All-wear cargo shorts,1777593600,783,34412.85
Swimwear,Mozambique bikini,1777593600,388,15500.6
Socks,Everyday socks,1780272000,343,4098.85
Shirts,Organic logo t-shirt,1780272000,363,6878.85
Jackets,Rivermaster jacket,1780272000,612,64229.4
Shirts,Hang glider t-shirt,1780272000,168,3183.6
Underwear,Active briefs,1738368000,1562,24913.9
Vests,Pack vest,1769904000,361,30666.95
Pants,All-out capris,1738368000,1273,58494.35
Pants,Shop pants,1738368000,553,27622.35
Socks,Hi-tech hw mountaineering socks,1738368000,2781,33232.95
Shorts,Long shorts,1738368000,762,34251.9
Shorts,Cotton board shorts,1738368000,648,29127.6
Sweatshirts,Hooded warrior sweatshirt,1738368000,4388,153360.6
Socks,Endurance quarter socks,1738368000,823,9834.85
Swimwear,L/s hooded rashguard,1738368000,157,4074.15
Swimwear,Cannes top,1738368000,161,3211.95
Shirts,S/s blue sun shirt,1738368000,310,6804.5
Shirts,Seaside t-shirt,1738368000,304,5760.8
Jackets,T5 jacket,1738368000,1916,162764.2
Socks,Hiking crew liner socks,1738368000,3005,35909.75
Socks,Endurance ankle socks,1738368000,1681,20087.95
Shirts,Bi-plane t-shirt,1738368000,445,8432.75
Jackets,Stretch climber jacket,1738368000,1977,158061.15
Sweaters,Down sweater,1738368000,3552,212942.4
Sweatshirts,Kat 3 zip neck,1740787200,1156,51962.2
Pants,Nice capris,1740787200,690,37915.5
Swimwear,Cassis bottom,1740787200,265,5286.75
Bags,Travel duffel,1740787200,2065,206396.75
Shirts,Kat 2 crew,1743465600,360,12582
Shirts,Moose t-shirt,1738368000,358,6784.1
Skirts,Girl's beach skirt,1738368000,1128,50703.6
Shirts,One tree shirt,1738368000,470,8906.5
Shorts,Big wave board shorts,1738368000,397,11890.15
Shorts,Active boy shorts,1738368000,277,8019.15
Jackets,Andorra 1/4 zip jacket,1738368000,1124,78623.8
Pants,Kat 2 bottoms,1738368000,932,37233.4
Pants,Nice trek zip-off pants,1738368000,258,16757.1
Underwear,Organic cotton boxers,1738368000,482,7687.9
Shirts,Langkawi tank,1738368000,144,3592.8
Shirts,Journeyman t-shirt,1738368000,169,3202.55
Vests,Down sweater vest,1738368000,612,45869.4
Shirts,Dragon t-shirt,1738368000,400,7580
Shorts,Board shorts,1738368000,414,18609.3
Shorts,Nice shorts-11 in.,1738368000,624,28048.8
Swimwear,Monaco tankini,1738368000,50,1497.5
Vests,Baby striped vest,1738368000,104,3634.8
Sweatshirts,Kat 2 v-neck,1740787200,3269,61947.55
Vests,Rivermaster vest,1740787200,2639,197793.05
Jeans,Relax fit organic ctn jeans-reg,1740787200,3288,180675.6
Socks,Hi-tech hw mountaineering socks,1740787200,3210,38359.5
Swimwear,Mozambique bikini,1740787200,254,10147.3
Shirts,Banjo t-shirt,1740787200,467,8849.65
Shirts,Baseball tank,1740787200,370,6641.5
Shirts,Blue marlin 2 t-shirt,1740787200,475,9001.25
Underwear,Active mesh bra,1740787200,1417,59443.15
Headwear,Logo hat,1740787200,2352,58682.4
Shorts,Lakefront shorts,1740787200,782,35150.9
Shorts,Nice gi shorts,1740787200,665,29891.75
Jackets,Light weight jacket,1740787200,3245,178312.75
Swimwear,Ibiza top,1740787200,397,11890.15
Headwear,Kat 2 cap sleeve,1740787200,2808,112179.6
Shirts,Merino comfort crew,1740787200,392,10172.4
Shirts,World tour t-shirt,1740787200,200,3790
Shorts,Nice shorts-7 in.,1740787200,101,4539.95
Shirts,Merino comfort t-shirt,1740787200,193,5394.35
Jackets,Track jacket,1740787200,2627,170623.65
Shirts,S/s solid polo shirt,1740787200,185,4615.75
Shirts,Sleeveless a/c shirt,1740787200,162,3069.9
Sweatshirts,Hooded warrior sweatshirt,1743465600,4173,145846.35
Pants,Kat 2 bottoms,1743465600,1064,42506.8
Pants,Glide pants,1743465600,1606,120369.7
Jeans,Reg fit organic ctn jeans-short,1743465600,3068,168586.6
Swimwear,Solid kaui halter top,1743465600,934,18633.3
Shirts,Merino hip crew,1743465600,442,15447.9
Shirts,Planets t-shirt,1743465600,189,3581.55
Shirts,Save the whales t-shirt,1743465600,89,1686.55
Bags,Travel pack,1743465600,1891,179550.45
Shorts,Big wave board shorts,1743465600,465,13926.75
Jackets,F1 full-zip jacket,1743465600,1017,116904.15
Pants,Merino casual pants,1743465600,1031,66963.45
Pants,Chapparal pants,1743465600,528,29013.6
Shirts,Stretch polo,1743465600,450,13477.5
Shirts,Surfer t-shirt,1743465600,45,852.75
Pants,Kat 4 bottoms,1746057600,1856,83427.2
Swimwear,Solid beach bum bottom,1746057600,1331,26553.45
Shirts,Sleeveless a/c shirt,1746057600,207,3922.65
Swimwear,Solid bermuda top,1746057600,195,3890.25
Pants,Iris pants,1746057600,1124,73003.8
Dresses,Bird of paradise dress,1748736000,2847,156442.65
Pants,Rain star pants,1748736000,577,49016.15
Shirts,Tough guy t-shirt,1751328000,732,13871.4
Shirts,Dragon t-shirt,1751328000,729,13814.55
Headwear,Fastback visor,1738368000,1797,35850.15
Shirts,Purple mountains shirt,1738368000,428,8110.6
Skirts,Bali skirt,1738368000,465,25551.75
Bags,Pocket pack,1738368000,252,8807.4
Shirts,Swordfish t-shirt,1738368000,128,2425.6
Sweatshirts,London hoody,1740787200,1579,70976.05
Pants,All-out capris,1740787200,1496,68741.2
Swimwear,Solid bermuda top,1740787200,120,2394
Swimwear,Solid toro bottom,1740787200,499,9955.05
Shirts,Rivermaster shirt,1740787200,641,15992.95
Shirts,Mountaineer t-shirt,1740787200,182,3448.9
Dresses,Spring dress,1740787200,1552,69762.4
Underwear,Active classic boxers,1740787200,1397,22282.15
Swimwear,Solid kaui halter top,1740787200,835,16658.25
Swimwear,Solid bermuda 1 piece,1740787200,577,14396.15
Shirts,Reef l/s shirt,1740787200,590,14720.5
Shirts,Killer whale t-shirt,1740787200,236,4472.2
Shirts,Earth day t-shirt,1740787200,123,2330.85
Shirts,One tree shirt,1740787200,501,9493.95
Pants,Insulator pants,1740787200,1354,101482.3
Shirts,Girl's bunny t-shirt,1740787200,57,1080.15
Swimwear,L/s hooded rashguard,1740787200,154,3996.3
Shorts,Hi-tech shorts,1740787200,110,4944.5
Shirts,Merino hip t-shirt 2,1740787200,285,5400.75
Sweatshirts,F1 hoody,1743465600,2462,159906.9
Sweatshirts,Explore long sweatshirt,1743465600,2272,136206.4
Vests,Micro smooth vest,1743465600,2677,200641.15
Vests,Pathwalker vest,1743465600,3347,250857.65
Swimwear,Daisy top,1743465600,376,15021.2
Shorts,Cotton board shorts,1743465600,699,31420.05
Shorts,Baby ruffles shorts,1743465600,426,17018.7
Jackets,Chamonix jacket,1743465600,1533,119497.35
Jackets,Andorra 1/4 zip jacket,1743465600,991,69320.45
Pants,Merino comfort bottoms,1743465600,870,34756.5
Swimwear,Solid maui top,1743465600,973,19411.35
Shirts,Kat 2 t-shirt,1743465600,210,3979.5
Bags,Pocket pack,1743465600,281,9820.95
Shorts,California shorts,1743465600,435,19553.25
Shirts,Dragon t-shirt,1743465600,455,8622.25
Shirts,Merino comfort polo,1743465600,618,21599.1
Skirts,Iris skirt,1743465600,1150,57442.5
Swimwear,Solid barbados bottom,1743465600,258,5147.1
Shirts,Ranch organic tank,1743465600,69,1721.55
Jackets,Andorra hooded jacket,1743465600,500,44975
Shirts,Merino hip t-shirt 1,1743465600,188,3562.6
Pants,Insulator pants,1746057600,1328,99533.6
Pants,Shelled insulator pants,1746057600,1265,63186.75
Pants,All weather capris,1746057600,1774,81515.3
Socks,Everyday socks,1746057600,873,10432.35
Swimwear,Resort top,1746057600,882,30825.9
Swimwear,Tropical hemp top,1746057600,839,25128.05
Shirts,Seagull t-shirt,1746057600,334,6329.3
Shirts,Small logo pkt t-shirt,1746057600,488,9735.6
Shirts,White hot t-shirt,1746057600,636,12052.2
Bags,Point break duffel 100,1746057600,2689,147760.55
Underwear,Active briefs,1746057600,1685,26875.75
Underwear,Active classic boxers,1746057600,1386,22106.7
Shorts,Cotton board shorts,1746057600,928,41713.6
Shorts,Worldwide shorts,1746057600,659,29622.05
Shorts,Nice gi shorts,1746057600,981,44095.95
Jackets,Adventure jacket,1746057600,964,91531.8
Sweatshirts,F1 hoody,1746057600,1937,125808.15
Shirts,One tree shirt,1746057600,644,12203.8
Jackets,Sherpa jacket,1746057600,649,81092.55
Shorts,Girl's board shorts,1746057600,907,36234.65
Pants,Bird of paradise capris,1746057600,684,37585.8
Shirts,S/s blue sun shirt,1746057600,451,9899.45
Shirts,Maui shirt,1746057600,293,5552.35
Shirts,S/s stringray shirt,1746057600,188,4126.6
Shorts,Nice shorts-7 in.,1746057600,175,7866.25
Shirts,Violet top,1746057600,86,3435.7
Jackets,Atmosphere jacket,1746057600,963,101066.85
Shirts,Ranch organic polo,1746057600,396,13840.2
Sweatshirts,Moon hoody,1748736000,669,26726.55
Pants,Shelled insulator pants,1748736000,1122,56043.9
Jeans,Relax fit organic ctn jeans-short,1748736000,2142,117702.9
Bags,Point break duffel 100,1748736000,2987,164135.65
Headwear,Kat 2 cap sleeve,1748736000,2805,112059.75
Shorts,Board shorts,1748736000,739,33218.05
Shorts,Heavy duty shorts,1748736000,1292,58075.4
Jeans,Reg fit organic ctn jeans-long,1748736000,2661,146221.95
Shirts,Umbrella t-shirt,1748736000,452,8565.4
Pants,Bird of paradise capris,1748736000,628,34508.6
Shirts,Ladybug t-shirt,1748736000,139,2634.05
Shirts,Plaid shirt,1748736000,251,6262.45
Shirts,Hang glider t-shirt,1748736000,367,6954.65
Skirts,Iris skirt,1748736000,1492,74525.4
Jackets,Stretch climber jacket,1748736000,1077,86106.15
Swimwear,L/s hooded rashguard,1748736000,312,8096.4
Jackets,Climber jacket,1748736000,393,35350.35
Sweatshirts,Kat 4 zip neck,1751328000,1653,74302.35
Sweatshirts,Kat 2 zip neck,1751328000,1235,43163.25
Pants,Rockwall pants,1751328000,1657,91052.15
Pants,Merino casual pants,1751328000,855,55532.25
Pants,Thomas pants,1751328000,1194,65610.3
Pants,T5 pants,1751328000,1787,116065.65
Swimwear,Antibes bottom,1751328000,178,3551.1
Shorts,Lakefront shorts,1751328000,2015,90574.25
Shirts,Tropical island t-shirt,1751328000,853,16164.35
Shirts,Clown fish t-shirt,1751328000,322,6101.9
Shirts,Drift shirt,1751328000,165,3126.75
Shirts,Plaid shirt,1751328000,285,7110.75
Swimwear,Antibes bottom,1740787200,68,1356.6
Socks,Hi-tech lw endurance ped socks,1743465600,1956,23374.2
Shirts,Floral t-shirt,1743465600,574,10877.3
Shirts,Sport top,1743465600,464,11576.8
Underwear,Active classic boxers,1743465600,1342,21404.9
Pants,Nylon twill pants,1743465600,696,38245.2
Shirts,Sleeveless a/c shirt,1743465600,167,3164.65
Shirts,Kat 1 graphic tee,1743465600,541,10251.95
Vests,Rivermaster vest,1746057600,1798,134760.1
Vests,Pathwalker vest,1746057600,2633,197343.35
Pants,T5 pants,1746057600,2194,142500.3
Jeans,Relax fit organic ctn jeans-reg,1746057600,3011,165454.45
Shirts,Ranch organic top,1746057600,246,6137.7
Shirts,Sport top,1746057600,592,14770.4
Shorts,Duck shorts,1748736000,1213,54524.35
Sweaters,Micro deluxe cardigan,1748736000,1763,88061.85
Shirts,Stretch polo,1748736000,556,16652.2
Shirts,Baby playtime t-shirt,1751328000,401,5192.95
Socks,Everyday socks,1751328000,778,9297.1
Shirts,Earth day t-shirt,1751328000,187,3543.65
Sweatshirts,F1 hoody,1701388800,3226,238869.582
Sweatshirts,Moon hoody,1704067200,1419,62713.939
Jeans,Relax fit organic ctn jeans-short,1698796800,3325,209650.198
Pants,Tropical hemp pants,1701388800,2076,139459.856
Socks,Hiking crew socks,1693526400,1115,14045.134
Jackets,Andorra 1/4 zip jacket,1696118400,1278,98093.965
Shirts,Lost coast t-shirt,1685577600,435,8613.661
Pants,T5 pants,1698796800,2922,216342.255
Socks,Hi-tech hw mountaineering socks,1698796800,4391,60494.485
Sweaters,Baby striped cardigan,1693526400,1301,50162.563
Swimwear,Mozambique bikini,1688169600,598,25205.677
Underwear,Active sport briefs,1690848000,1479,26327.433
Jeans,Reg fit organic ctn jeans-reg,1690848000,4365,276027.623
Pants,Rockwall pants,1680307200,2418,150009.335
Shirts,Small logo pkt t-shirt,1696118400,812,17479.425
Sweatshirts,Chamonix hoody,1677628800,5457,275833.48
