Word / phrase,Status,Definition,Guidelines,"""Do this"" example","""Don’t do this"" example",Notes & Qs,Don't translate,Product area(s),Screenshot(s),Last updated at,Created at,Last updated by
Essential,Limited use,"Middle license tier suitable for users who need to dive into workbooks but not build them themselves

(We are transitioning away from this license starting March/April 2025, this page will be updated with new license details soon)", , , ,,,,,2026-03-09 14:07:42,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Home,Approved,The Sigma home page accessible by the crane icon,"
Capitalized and bolded when referring to Sigma home
If referring to custom home pages, do not use this styling (see “home page”)",✅ “Go to Home”.,❌ “Go to your Sigma home page.”,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
ID,Approved,Abbreviated version of identifier,"
Capitalize fully (ID) unless matching a code block, then camel case is acceptable. Should never be fully lowercase (id). ","✅ ""You can identify a connection ID from the individual connection’s page in Sigma.""","❌ ""The endpoints in the Sigma API require a unique identifier (id) for a target object.”",,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Inserted-Row-Id variable ,Approved,"An action variable that represents the system-generated row ID for a new row added during the execution of an Insert row action.
The Inserted-Row-Id variable is only available when configuring an action that meets the following criteria:
The action sets a value (e.g., Set control value, Insert row, Update row, or Set dynamic value).
The action follows an Insert row action in the same sequence.
Formula syntax: [Inserted-Row-Id]","
Use Inserted-Row-Id with code formatting when referencing the variable by name.
Use [Inserted-Row-Id] with square brackets when referencing the syntax.",✅ “Sigma stores the added row’s system-generated ID in the Inserted-Row-Id variable.”, ,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Lite,Limited use,"Lowest license tier suitable for report consumers that only need to access already prepared documents

(We are transitioning away from this license starting March/April 2025, this page will be updated with new license details soon)", , , ,,,,,2026-03-09 14:07:42,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
OK,Approved,"Use instead of “Ok”, “Okay”, and other variations.", , , ,,,,,2025-12-05 14:23:45,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Pro,Approved,"Highest license tier offering full range of Sigma features

(We are transitioning away from this license starting March/April 2025, this page will be updated with new license details soon)", , , ,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Repeated container,Approved,The layout element that generates one card per row in a data source.,"Use ""repeated container"" to describe the element. Use ""repeated container card"" to describe the individual layouts in the repeated container.","""Use repeated containers to define a layout that repeats for each row in a data source.""","""Use a repeater to define a layout that repeats for each row in a data source.""","The repeated container is the formal term for the layout element sometimes called a ""Repeater"". We should not use the term ""Repeater""",false,"[
  ""Data apps""
]",,2026-03-24 16:26:36,2026-03-23 10:24:14,margot.merrill@sigmacomputing.com
Selection variable  ,Approved,"An action variable that represents the tabular value at the intersection of the row a user selects and a specified column. 
The Selection variable, available when configuring action or action condition, retrieves the values from user-selected rows in a table, pivot table, or input table. It can also retrieve the row values represented by user-selected data points in a chart.
Formula syntax: [Selection/]","
Use Selection with code formatting when referencing the variable by name.
Use [Selection/] with square brackets when referencing the syntax.","✅ “When user interaction with a table triggers an action, you can use the Selection variable to represent the value in the user-selected row for a specified column.”
 ", ,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Sigma,Approved,"The product that Sigma Computing offers, used in all non-legal contexts in the documentation.","
Use Sigma by itself to refer to the product, with the exception of documentation that legal specifies needs formal treatment in a legal review. Use “the Sigma service” for formal legal statements.
Can be used to modify other nouns: the Sigma UI, your Sigma organization, the Sigma team, Sigma users, etc. ","✅ ""Sigma lists your selection under Person or team with access.""
✅ “The identifier should be identical to its corresponding account type in Sigma.”
✅ “Grant other Sigma users access to a Sigma document.""", ,"12/17 added ""do not translate"" checkbok",true,,,2025-12-17 12:29:24,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Sigma Account Executive,Approved,The Sigma account manager assigned to a customer ,"
Use “Sigma Account Executive” on first mention, then can be shortened to “Account Executive”
Use “Sales team” only when a customer hasn’t been assigned an AE",✅ “Contact your Sigma Account Executive”. ,❌ “Request access to this feature through your Account Representative/account manager.”,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Sigma Assistant,Approved,"Sigma Assistant refers to all of our AI features. It replaces ""Ask Sigma"" and ""AI Builder."" ",Refer to Sigma Assistant (capitalized as a proper noun) when first introducing our AI features. Note that assistant isn't capitalized unless we're referring to the full branded feature name.,✅ Sigma Assistant is an AI assistant that helps you turn your data into apps and insights.,❌ “Sigma Assistant is an Assistant that's powered by AI.”,New approved name for Sigma's AI features,true,"[
  ""AI Builder""
]",,2026-03-24 16:26:36,2026-03-02 15:49:42,margot.merrill@sigmacomputing.com
Sigma Computing,Approved,The company,"
When referring to the company, always use “Sigma Computing” and never “Sigma” on its own. ",✅ “Sigma Computing makes some features available in Beta releases.”,❌ “Sigma makes some features available in Beta releases.”,"12/17 added ""do not translate"" checkbok",true,,,2025-12-17 12:29:24,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Sigma REST API,Approved,The public API that allows developers to programmatically interact with Sigma analytics,"
Use “Sigma REST API” the first time it is referred to on a page, then you can shorten to “the Sigma API” or “the API”","✅ ""The Sigma REST API lets you programmatically administer and interact with the powerful analytics in Sigma.""",❌ “The Sigma Rest Api provides developer access to resources.”,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Sigma organization,Approved,A specific instance of Sigma ,"
Do not use “deployment”, “instance” or “account” in place of this.","✅ “A Sigma organization running on Azure.”
✅ “Use the email address you use to sign in to Sigma/your Sigma organization.”","❌ “A Sigma deployment connected to Snowflake.”
❌ “Use the email address associated with your Sigma account.”",,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Stored-Procedure-Result variable ,Approved,"An action variable that represents the scalar value returned during the execution of a Call stored procedure action. 
The Stored-Procedure-Result variable is only available when configuring an action that meets the following criteria:
The action sets a value (e.g., Set control value, Insert row, and Update row).
The action follows a Call stored procedure action in the same sequence. If the stored procedure doesn’t return a value, the variable is not available.
Formula syntax: [Stored-Procedure-Result]","
Use Stored-Procedure-Result with code formatting when referencing the variable by name.
Use [Stored-Procedure-Result] with square brackets when referencing the syntax.",✅ “Actions use the Stored-Procedure-Result variable to reference scalar data returned by a stored procedure.”, ,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
View (license tier),Approved,License tiers are used for billing purposes and are assigned to account types based on the enabled permissions. View license tier is designed for report consumers needing access to prepared data and baseline interactions.,"Different than “account type”, do not use interchangeably
If you have to use a noun, use “license tier”, not “license type” (to avoid confusion with “account type”. Ideally, write around having to use a noun.
Do not say “user account level” or “user roles”",The View license tier is suitable for report consumers who need access to prepared data and insights with baseline interactions.,❌ “View is the lowest license type.”,"Do not translate ""View"" when referring to a license tier",true,,,2026-03-09 14:07:42,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
"WRITE privileges, WRITE permissions (or variations of these)",In discussion,A data platform’s access control that enables an account or a role to write data into that platform. ,"Use when referring to the specific permission, capability, privilege defined by the data platform.
Always match the style and phrasing used by the data platform. ", , ,Need to define when to use permissions vs priviledges,,,,2025-12-17 11:49:46,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
access,Approved,"Used for document/folder access and for data permissions (e.g. “connection access”, “data access”, “connection-level access”). 
Not to be used for account type permissions (see “permission”) or data entry permissions. ","
Besides in the API documentation, try and use “access” in place of grant (e.g. say “user with access” instead of ”grantee” 
Don’t use “privileges” unless referring to a third-party platform (e.g. Snowflake uses “privileges”)",✅ “You need Can view access to the workbook to …”,❌ “Only users with Can edit permission to a workbook can…”,,false,,,2025-12-05 14:22:07,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
account type,Approved,Account types determine the actual permissions and access users are granted ,"
License and account type are not interchangeable, do not treat as such (Permissions enabled for an account type determine which license tier is assigned to it)
Avoid conflating with “user type” ", , ,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
action ,Approved,"User-defined interactivity, configured within or across workbook elements, that automates responses to specific user interactions. 
An individual action consists of the following:
A trigger configured on the trigger element.
An effect, which can be applied to a target element. (Effects don’t always impact workbook elements.)","Use when referring collectively to a specific trigger and its corresponding effect. 
Don’t use “action” to describe specifically the response (action effect) to the trigger.
If possible, avoid using “action” in a general sense that’s not in the context of the action feature. 

Sigma ""runs"" sequences. Sequences ""execute"" actions. Don't use ""run"" with actions.","✅ “Actions support dynamic cross-element filtering, which enables user interactions with one element to filter the data of other elements in the same workbook.”

✅ ""The sequence will execute the actions in the order listed""","❌ “Update the control to trigger an action on a chart.”

❌ ""You can control whether keyboard navigation can trigger sequences to run actions.""",,,,,2026-03-02 15:38:10,2025-12-04 16:35:55,alyssa.tsuno@sigmacomputing.com
action variable  ,Approved,"A variable that is available to use in formulas when configuring an action or (in some cases) action condition. 
An action variable represents a transient value that’s 1) generated during the execution of an action sequence, and 2) only available during that particular sequence. Two sequences cannot share the same action variable.
See Selection variable, Stored-Procedure-Result variable, and Inserted-Row-Id variable.","
Use to describe the type of transient data or to collectively refer to the available action variables.",✅ “Action variables represent values generated during the execution of an action sequence.”, ,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
admin portal,Do not use,Do not use. See “Administration portal” or “Administration”., , , ,,,,,2025-12-05 14:24:54,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
admins,Approved,Can be used for a shorter way of referring to people who are assigned the Admin account type. ,"
Do not use “administrator” or “non-admin”.
Use in generic sense, not use to replace the account type. ",✅ “If you want admins to be able to configure…”,❌ Saying “You must be an admin.” instead of “You must be assigned assigned the Admin account type”. ,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
badge,Approved,"A label that can be added to a workbook, dataset, or data model to indicate status or quality.","
Do not use as a verb or adjective.
Can be qualified to provide more context.
Do not refer to a badge type."," “Set certification badges (endorsed, warning, and deprecated) on workbooks and data models…”
“The ability to set or delete a badge requires the following”", “Badge a dataset or workbook”,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
bookmark,Do not use,A saved version of a customized/explored workbook,Do not use. This term has been replaced by “saved view”., ," “Save the explored state of your workbook as a bookmark.”
“Share a bookmarked version of the workbook with others.”",,,,,2026-01-31 17:05:58,2025-12-04 16:35:55,estella@sigmacomputing.com
calculated column,Approved,Column of data that has been generated from a user-defined formula or lookup,"
Don’t use “computed column” instead of this",✅ “You can add a calculated column to a table using any of the Sigma functions.”, “You can add a computed column to a table…”,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
chart,Approved,"Categorical term for graphical data elements available in Sigma (e.g. bar chart, pie chart). ","
This was formerly known as “visualization”, do not use this term going forward in most instances (see “visualization”). The product may not be fully caught up with this change yet and instances of “visualization” may still appear. ",✅ “Add a chart to your workbook.”,❌ “Add a bar visualization to your workbook.”,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
child element,Approved,"An element in a workbook that references another element (parent element) as its data source. 
The parent-child relationship occurs when a new element is created directly from an existing element (via the Create child element feature), or when an element is manually selected as another element’s data source.","
Do not use “dependent element” in place of this
To be paired with “parent element”, not “source element”",✅ “Refreshing a parent element also refreshes all child elements in the workbook.”,❌ “Dependent elements are created from source elements.”,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
cloud data warehouse,Do not use,Do not use. See “data platform.”, , , ,,,,,2025-12-05 14:22:44,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
column,Approved,"Table column, list of values displayed vertically in the table. Data is managed at the column, not cell, level in Sigma. ","
See also: source column, calculated column, data entry column, row edit history column, system column. ",✅ “Managing data at the column level ensures consistency and accuracy.”, ,,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
columns list,Approved,List of columns shown in the editor panel for a data element in a workbook or data model.,"
Can also use “list of columns”.
 "," “Select the table, then locate the columns list in the editor panel.”", “In the column shelf…”,,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
"condition 
(also “action condition”)",Approved,A rule that must be met for an action sequence to execute.,"
If possible, avoid using “condition” in a general sense that’s not in the context of the action feature
Use “action condition” for the initial use of the term in a paragraph. For subsequent use, use “action condition” or “condition” (whichever works best for clarity and brevity). ","✅ “The condition can be a custom formula or, if you are configuring an action for a control, the condition can be the value of the control.”", ,,,,,2025-12-05 14:22:17,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
connection,Approved,The configuration that allows Sigma to get and (optionally) write data to the customer’s data platform. ,"
Use by itself whenever possible, rather than adding unnecessary adjectives like “data connection”, “warehouse connection”, or “platform connection”.
When speaking of user access to connections, use the word access and not permission.","✅ “You must have access to at least one connection in your organization.""
✅ “A single Sigma organization can have many connections, each configured with different levels of access, to be shared with members or teams.""
✅ ""Set up a connection to swap to for a specific version of the workbook.""","❌ “You must have connection-level permissions on a connection with write access.”
❌ ""Select your new warehouse connection from the left hand navigation panel.""",,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
connection path,Approved,"The connection path is a list of strings that represents the path to the table in the data platform. For example, [""database"", ""schema"", ""table""].",Use only when referring to the fully-qualified path to a table. ,✅ “The connection path to a Snowflake table uses the format DATABASE.SCHEMA.TABLE.”, ,,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
connection type,Do not use,Do not use. See “data platform”., , , ,,,,,2025-12-05 14:22:02,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
connector,Approved,"A line connecting two items in a visualization, such as a waterfall chart. ","Use only when referring to the visual line that connects two items. 
Do not use in the sense that Marketing uses this term, to refer to connections to data platforms.","✅ “Select the Show connector line checkbox to show a line connecting the values on the waterfall chart.""","❌ “Instantly connect to leading cloud data platforms with built-in, code-free connectors for streamlined workflows.” (This is acceptable for Marketing only, not for documentation.)",,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
container,Approved,The element you can use to organize other elements,Do not use in the generic sense to avoid confusion,✅ “Add containers to your workbook pages to organize elements on the canvas and visually group elements together.”,❌ “A single data model serves as a container for a collection of reusable elements.”,,,,,2025-12-11 15:47:52,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
control,Limited use,Shorthand for a control element.,"• Use sparingly
• Often pluralized"," “You can add controls to your workbook to filter data.”
 “Add a list values control to your workbook page.”", ,,,,,2025-12-11 15:47:52,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
control ID,Approved,The unique identifier for a control element.,Do not lowercase ID.," ""You can find the control ID in the Settings panel for a control.”", “Update the control id.”,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
control element,Approved,An element type that can be used for filtering data or to support various data app workflows with inputs and outputs., , “Add a text input control element to provide a dynamic input for the argument of a stored procedure action.”, ,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
custom view,Approved,"A customized or personalized view created on top of the published version or a tagged version of a workbook. 
A custom view is automatically created and stored when a user user with permission (and access) to do so interacts with the workbook version or clicks Customize this view. 
Formerly known as the explored state of a workbook, or a workbook explore.",Avoid terminology that uses the verb customize with the phrase “custom view”.," “Create and interact with custom views”
“Make more changes while in a custom view”", Customize with a custom view,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
data connection,Do not use,Do not use. See “connection” or “data source” depending on meaning. , , , ,,,,,2025-12-05 14:22:51,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
data entry column,Approved,Column in an input table that allows you to enter data at the cell level,"
Only use when talking about input tables", Data entry column: Supports direct user input at the individual cell level., “Add a data entry column to your pivot table.”,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
data model,Approved,The feature that provides the framework for creating and managing a collection of reusable data source elements,"
Lowercase unless referring to product UI","✅ “To create a data model, do the following…”","❌ “To create a Data Model, do the following…”",,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
data platform,Approved,The service or solution that customers use to store data and make it available to products like Sigma. ,"
Use this instead of “cloud data warehouse” because it is a more universal way of referring to the data storage services we support with our connections. ","✅ ""You must have the necessary permissions in your data platform.”
✅ “Each data platform has a unique database structure and permissions model.”","Do not use these alternatives:
❌ cloud data warehouse (CDW)
❌ CDW
❌ connection type
❌ data warehouse
❌ data store
❌ database management system (DBMS)",,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
data source,Approved,The source of the data used to drive analysis. Data sources can be tables from a data platform or other elements in a workbook (called parent elements).,"
Use when referring to the upstream source of an element’s data.
Do not use when you mean data platform. ","✅ ""You can use an element in a workbook as a data source for another element. "" 
✅ ""You can reuse metrics across data elements that share a data source (dataset or database table).""",❌ “Set up a connection to your data source.”,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
database object,Approved,Object in database used to store or reference data,"
Only use “object” when referring to database objects"," In Snowflake, you might need to grant usage privileges to the relevant database objects.", ,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
database table,Approved,"A table from a connected data platform, usable as a data source and can be selected in the UI from Data > Table > Tables and Datasets.","
Can be written around (e.g. “Table in your data platform), but use “database table” when referring to it appearing in the Sigma data catalog or connection explorer","✅ “Model data from your database tables”
 “…when viewing the lineage of a data model using the database table as a data source.”", “Using the database table in your workbook…”,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
dataset,Approved,The document type (will be deprecated once data models reach feature parity),"
One word, lowercase (unless referring to specific UI)
When referring to a generic collection of data (not the feature), write around it (e.g. “set of data”)",✅ “Create a new dataset.”,"❌ “Create a new Data Set”.
❌ “This dataset of 25,000 points is about birds”.",,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
dataset parameter,Approved,The way to filter a dataset. Can be a target from a control element in a workbook.,"
Always refer to “dataset parameter”, do not shorten to just “parameter”.", “Add a dataset parameter as a target of the control.”, “Target a parameter in a dataset from your workbook.”,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
dataset warehouse view,Approved,A warehouse view of a dataset. ,"
Specify dataset warehouse view when making a distinction from workbook warehouse views. Otherwise, drop the word dataset. ","✅ “To reference a dataset warehouse view in a SQL query, use the view path.”", ,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
deployment,Approved,"For multitenancy, the jobs that are run to deploy documents and other changes to a tenant organization.","
Do not refer to a deployment job."," “Check the status of the deployment”
 “Review deployment history”"," “Check the status of the deployment job.”
 “Manage deployment jobs”",,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
deployment policy,Approved,"For multitenancy, the specification for who, what, and how to send documents to a tenant organization. ","
Always use as “deployment policy”."," “Define a deployment policy…”
 “After publishing, the document or its changes are deployed to tenant organizations according to the deployment policy.”"," “Define a deployment…”
 “Set up a policy to define what to deploy…”",,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
directive,Submitted,The flag used alongside dynamic content in a custom SQL query to inform the compiler how to read the query content.,"Refer to the directive as ""the ____ directive"", not by its full syntax, e.g. ""You can set a dynamic alias for a column in a custom SQL query using the #identifier directive.""",,,"In a Custom SQL query, inserting dynamic content via {{[content]}} syntax sometimes requires a directive, for example {{#formula CurrentUserEmail()}} uses the formula directive.",false,"[
  ""Connections + Data sources""
]",,2026-04-01 10:50:38,2026-04-01 10:50:38,ben.harris@sigmacomputing.com
document,Approved,"A Sigma data model, workbook, or dataset (does not include warehouse views) ","
Lowercase unless indicated otherwise in the UI",✅ “A data model is a type of Sigma document that provides the framework for creating and managing a collection of reusable elements.”,❌ “Warehouse views are a type of Sigma Document.”,,,,,2025-12-05 14:25:23,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
document toolbar,Submitted,The row of icon buttons displayed between the document header and canvas. Can also contain the formula bar.,,,,none,false,,,2026-03-02 15:20:03,2026-03-02 15:20:03,alyssa.tsuno@sigmacomputing.com
draft,Approved,"The editable state of a document like a workbook or a data model.
When a user is editing, they are interacting with the draft.",Avoid modifying draft whenever possible. ," “Restore a draft to a previous change or version”
“Open the workbook for editing and make changes to the draft.”"," “When the workbook is in a draft state…”
“Publish the draft version of the workbook.”",,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
draft state,Do not use,Do not use. See draft., , , ,,,,,2025-12-05 14:24:54,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
draft version,Do not use,Do not use. See draft and version., , , ,,,,,2025-12-05 14:24:54,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
drill down,Approved,"Refers to the ""drill down""… feature in workbooks for specific columns of data ","
Say “drill down” or “drill down into”
Don’t create new names, e.g. “Drill Anywhere feature”",✅ “You can drill down into a column for more information.”,❌ “Use the Drill Anywhere feature to explore visualizations.”,,,,,2025-12-18 09:41:25,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
edit history,Approved,"The specific edits made to the draft or a version, visible in the version history. A more granular view within the version history.",Use only to refer to the list of edits for a specific version or the draft in the version history. , “You can restore your workbook draft to a specific change in the edit history for a version or draft”, “Review the edit history for the workbook.” ,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
"effect 
(also “action effect”)",Approved,"The defined response to a user interaction in a configured action.
Effects can be applied to target elements, but they can also have no impact on elements. For example, actions that open links, navigate a workbook, or export data.","
Use specifically when referencing the outcome of an action relative to the target element, modal, destination, plugin, etc.
Use “action effect” for the initial use of the term in a paragraph. For subsequent use, use “action effect” or “effect” (whichever works best for clarity and brevity). ",✅ “An individual action consists of a trigger and an effect.”, ,,,,,2025-12-05 14:24:35,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
element,Approved,"Data elements, UI elements and control elements that are created in a workbook","
These used to be “cards” - do not use this terminology. 
Lowercase unless matching UI (e.g. “Element style”)","✅ “There are three element types: data elements, UI elements, and control elements.”",N/A,,,,,2025-12-05 14:25:09,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
element menu,Submitted,The dropdown that opens when you click More (three dot icon) in the element toolbar.,"Don't use More menu, kebab, three dot menu, etc.",,,none,false,,,2026-03-02 15:14:14,2026-03-02 15:14:14,alyssa.tsuno@sigmacomputing.com
