INCIDENT_ID,EMPLOYEE_ID,DATE,LOCATION,DEPARTMENT,INCIDENT_TYPE,SEVERITY,DESCRIPTION,OVERTIME_ON_DAY,HOURS_WORKED_BEFORE_INCIDENT
INC-0177,EMP-1171,2025-10-23,Atlanta DC,Warehouse & Logistics,Heavy Lifting Injury,Critical,Incident at Atlanta DC involving Heavy Lifting Injury - Critical severity,TRUE,1.1
INC-0178,EMP-1101,2025-10-26,Baltimore HQ,Customer Service,Forklift Collision,Medium,Incident at Baltimore HQ involving Forklift Collision - Medium severity,FALSE,4.2
INC-0179,EMP-1019,2025-10-28,Austin Hub,Human Resources,Near Miss,Medium,Incident at Austin Hub involving Near Miss - Medium severity,TRUE,9.2
INC-0180,EMP-1259,2025-10-28,Chicago Plant,Customer Service,Repetitive Strain,High,Incident at Chicago Plant involving Repetitive Strain - High severity,TRUE,4.3
INC-0181,EMP-1035,2025-10-29,Chicago Plant,Warehouse & Logistics,Heavy Lifting Injury,High,Incident at Chicago Plant involving Heavy Lifting Injury - High severity,FALSE,7.4
INC-0182,EMP-1008,2025-11-01,Baltimore HQ,Warehouse & Logistics,Near Miss,Low,Incident at Baltimore HQ involving Near Miss - Low severity,TRUE,4.4
INC-0183,EMP-1037,2025-11-04,Chicago Plant,Warehouse & Logistics,Ergonomic Strain,Low,Incident at Chicago Plant involving Ergonomic Strain - Low severity,TRUE,4.4
INC-0184,EMP-1109,2025-11-04,Atlanta DC,Human Resources,Ergonomic Strain,Low,Incident at Atlanta DC involving Ergonomic Strain - Low severity,FALSE,7.9
INC-0185,EMP-1230,2025-11-04,Denver Office,Engineering,Forklift Collision,Low,Incident at Denver Office involving Forklift Collision - Low severity,FALSE,3.1
INC-0186,EMP-1015,2025-11-05,Austin Hub,Sales,Ergonomic Strain,Medium,Incident at Austin Hub involving Ergonomic Strain - Medium severity,TRUE,4.1
INC-0187,EMP-1027,2025-11-05,Austin Hub,Engineering,Forklift Collision,Low,Incident at Austin Hub involving Forklift Collision - Low severity,TRUE,1.4
INC-0188,EMP-1056,2025-11-06,Atlanta DC,Customer Service,Caught Between Objects,Medium,Incident at Atlanta DC involving Caught Between Objects - Medium severity,FALSE,1.2
INC-0189,EMP-1247,2025-11-11,Austin Hub,Customer Service,Heavy Lifting Injury,Low,Incident at Austin Hub involving Heavy Lifting Injury - Low severity,FALSE,5.9
INC-0190,EMP-1255,2025-11-13,Denver Office,Finance,Forklift Collision,Low,Incident at Denver Office involving Forklift Collision - Low severity,FALSE,2.2
INC-0191,EMP-1031,2025-11-16,Chicago Plant,Warehouse & Logistics,Caught Between Objects,Low,Incident at Chicago Plant involving Caught Between Objects - Low severity,TRUE,2.4
INC-0192,EMP-1115,2025-11-18,Baltimore HQ,Warehouse & Logistics,Slip/Fall,Low,Incident at Baltimore HQ involving Slip/Fall - Low severity,FALSE,8.7
INC-0193,EMP-1023,2025-11-19,Austin Hub,Engineering,Forklift Collision,Low,Incident at Austin Hub involving Forklift Collision - Low severity,FALSE,6.1
INC-0194,EMP-1029,2025-11-19,Austin Hub,Human Resources,Heavy Lifting Injury,High,Incident at Austin Hub involving Heavy Lifting Injury - High severity,TRUE,6.3
INC-0195,EMP-1196,2025-11-21,Atlanta DC,Human Resources,Heavy Lifting Injury,Low,Incident at Atlanta DC involving Heavy Lifting Injury - Low severity,TRUE,4.3
INC-0196,EMP-1148,2025-11-24,Baltimore HQ,Human Resources,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,FALSE,7.9
INC-0197,EMP-1126,2025-11-26,Baltimore HQ,Sales,Fatigue-Related Error,Low,Incident at Baltimore HQ involving Fatigue-Related Error - Low severity,TRUE,9.8
INC-0198,EMP-1163,2025-11-26,Denver Office,Sales,Forklift Collision,Low,Incident at Denver Office involving Forklift Collision - Low severity,FALSE,9.7
INC-0207,EMP-1052,2025-12-07,Baltimore HQ,Human Resources,Heavy Lifting Injury,High,Incident at Baltimore HQ involving Heavy Lifting Injury - High severity,FALSE,5.8
INC-0208,EMP-1042,2025-12-08,Chicago Plant,Warehouse & Logistics,Ergonomic Strain,Medium,Incident at Chicago Plant involving Ergonomic Strain - Medium severity,FALSE,2.9
INC-0209,EMP-1036,2025-12-11,Chicago Plant,Warehouse & Logistics,Near Miss - Forklift,Low,Incident at Chicago Plant involving Near Miss - Forklift - Low severity,FALSE,5.8
INC-0210,EMP-1104,2025-12-11,Austin Hub,Engineering,Equipment Malfunction,Low,Incident at Austin Hub involving Equipment Malfunction - Low severity,FALSE,8.8
INC-0211,EMP-1274,2025-12-11,Chicago Plant,Human Resources,Repetitive Strain,Low,Incident at Chicago Plant involving Repetitive Strain - Low severity,FALSE,2.6
INC-0212,EMP-1227,2025-12-12,Austin Hub,Sales,Slip/Fall,Low,Incident at Austin Hub involving Slip/Fall - Low severity,TRUE,9.8
INC-0213,EMP-1153,2025-12-13,Baltimore HQ,Customer Service,Caught Between Objects,High,Incident at Baltimore HQ involving Caught Between Objects - High severity,TRUE,5.5
INC-0214,EMP-1187,2025-12-13,Austin Hub,Customer Service,Repetitive Strain,Medium,Incident at Austin Hub involving Repetitive Strain - Medium severity,FALSE,4.4
INC-0215,EMP-1089,2025-12-16,Denver Office,Finance,Caught Between Objects,Medium,Incident at Denver Office involving Caught Between Objects - Medium severity,FALSE,1.4
INC-0091,EMP-1256,2025-12-25,Atlanta DC,Human Resources,Heavy Lifting Injury,High,Incident at Atlanta DC - High severity - Human Resources,FALSE,9.0
INC-0092,EMP-1046,2025-12-28,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Medium,Incident at Chicago Plant - Medium severity - Warehouse & Logistics,FALSE,7.0
INC-0093,EMP-1272,2025-12-30,Austin Hub,Engineering,Minor Cut/Bruise,Low,Incident at Austin Hub - Low severity - Engineering,FALSE,5.6
INC-0094,EMP-1137,2026-01-03,Denver Office,Warehouse & Logistics,Repetitive Strain,Medium,Incident at Denver Office - Medium severity - Warehouse & Logistics,FALSE,5.7
INC-0089,EMP-1239,2025-12-17,Chicago Plant,Sales,Ergonomic Strain,High,Incident at Chicago Plant - High severity - Sales,FALSE,6.1
INC-0090,EMP-1086,2025-12-20,Austin Hub,Human Resources,Heavy Lifting Injury,Medium,Incident at Austin Hub - Medium severity - Human Resources,FALSE,6.6
INC-0073,EMP-1287,2025-10-25,Austin Hub,Sales,Equipment Malfunction,Low,Incident at Austin Hub - Low severity - Sales,TRUE,3.4
INC-0074,EMP-1002,2025-10-28,Baltimore HQ,Human Resources,Fatigue-Related Error,High,Incident at Baltimore HQ - High severity - Human Resources,FALSE,9.5
INC-0075,EMP-1240,2025-10-28,Denver Office,Warehouse & Logistics,Near Miss,Medium,Incident at Denver Office - Medium severity - Warehouse & Logistics,TRUE,7.0
INC-0079,EMP-1038,2025-11-15,Chicago Plant,Warehouse & Logistics,Near Miss,Low,Incident at Chicago Plant - Low severity - Warehouse & Logistics,TRUE,5.7
INC-0080,EMP-1245,2025-11-19,Denver Office,Sales,Heavy Lifting Injury,Low,Incident at Denver Office - Low severity - Sales,TRUE,9.7
INC-0081,EMP-1139,2025-11-21,Baltimore HQ,Finance,Heavy Lifting Injury,Medium,Incident at Baltimore HQ - Medium severity - Finance,FALSE,8.7
INC-0082,EMP-1232,2025-11-26,Austin Hub,Human Resources,Caught Between Objects,Low,Incident at Austin Hub - Low severity - Human Resources,FALSE,5.7
INC-0076,EMP-1289,2025-11-06,Chicago Plant,Customer Service,Ergonomic Strain,Low,Incident at Chicago Plant - Low severity - Customer Service,TRUE,5.8
INC-0077,EMP-1154,2025-11-07,Chicago Plant,Customer Service,Equipment Malfunction,Medium,Incident at Chicago Plant - Medium severity - Customer Service,TRUE,8.9
INC-0078,EMP-1208,2025-11-11,Baltimore HQ,Human Resources,Equipment Malfunction,Medium,Incident at Baltimore HQ - Medium severity - Human Resources,FALSE,6.9
INC-0083,EMP-1118,2025-11-29,Austin Hub,Sales,Repetitive Strain,High,Incident at Austin Hub - High severity - Sales,TRUE,3.5
INC-0084,EMP-1183,2025-12-07,Baltimore HQ,Finance,Fatigue-Related Error,Low,Incident at Baltimore HQ - Low severity - Finance,FALSE,5.4
INC-0085,EMP-1268,2025-12-07,Baltimore HQ,Human Resources,Ergonomic Strain,Low,Incident at Baltimore HQ - Low severity - Human Resources,FALSE,3.2
INC-0086,EMP-1019,2025-12-08,Austin Hub,Human Resources,Caught Between Objects,Low,Incident at Austin Hub - Low severity - Human Resources,FALSE,3.0
INC-0087,EMP-1087,2025-12-11,Denver Office,Finance,Repetitive Strain,High,Incident at Denver Office - High severity - Finance,TRUE,1.9
INC-0088,EMP-1089,2025-12-12,Denver Office,Finance,Heavy Lifting Injury,Low,Incident at Denver Office - Low severity - Finance,FALSE,9.8
INC-0069,EMP-1152,2025-10-10,Denver Office,Engineering,Repetitive Strain,Low,Incident at Denver Office - Low severity - Engineering,TRUE,9.6
INC-0070,EMP-1213,2025-10-19,Baltimore HQ,Finance,Near Miss,Low,Incident at Baltimore HQ - Low severity - Finance,FALSE,7.1
INC-0071,EMP-1055,2025-10-20,Austin Hub,Sales,Repetitive Strain,Medium,Incident at Austin Hub - Medium severity - Sales,FALSE,9.1
INC-0072,EMP-1053,2025-10-25,Chicago Plant,Sales,Equipment Malfunction,Medium,Incident at Chicago Plant - Medium severity - Sales,FALSE,7.7
INC-0199,EMP-1295,2025-11-27,Denver Office,Customer Service,Equipment Malfunction,High,Incident at Denver Office involving Equipment Malfunction - High severity,FALSE,6.9
INC-0200,EMP-1249,2025-11-29,Chicago Plant,Finance,Equipment Malfunction,Medium,Incident at Chicago Plant involving Equipment Malfunction - Medium severity,FALSE,6.4
INC-0201,EMP-1042,2025-12-01,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Chicago Plant involving Equipment Malfunction - Low severity,FALSE,3.8
INC-0202,EMP-1056,2025-12-03,Atlanta DC,Customer Service,Caught Between Objects,High,Incident at Atlanta DC involving Caught Between Objects - High severity,FALSE,6.8
INC-0203,EMP-1082,2025-12-04,Denver Office,Warehouse & Logistics,Repetitive Strain,Low,Incident at Denver Office involving Repetitive Strain - Low severity,FALSE,4.5
INC-0204,EMP-1024,2025-12-06,Austin Hub,Engineering,Minor Cut/Bruise,Medium,Incident at Austin Hub involving Minor Cut/Bruise - Medium severity,FALSE,2.3
INC-0205,EMP-1206,2025-12-06,Atlanta DC,Engineering,Near Miss - Forklift,Medium,Incident at Atlanta DC involving Near Miss - Forklift - Medium severity,FALSE,4.9
INC-0206,EMP-1207,2025-12-06,Austin Hub,Finance,Caught Between Objects,High,Incident at Austin Hub involving Caught Between Objects - High severity,TRUE,7.4
INC-0164,EMP-1144,2025-10-05,Denver Office,Warehouse & Logistics,Caught Between Objects,High,Incident at Denver Office involving Caught Between Objects - High severity,TRUE,6.0
INC-0165,EMP-1188,2025-10-05,Baltimore HQ,Engineering,Caught Between Objects,Low,Incident at Baltimore HQ involving Caught Between Objects - Low severity,FALSE,1.2
INC-0166,EMP-1094,2025-10-11,Denver Office,Engineering,Fatigue-Related Error,Low,Incident at Denver Office involving Fatigue-Related Error - Low severity,FALSE,6.0
INC-0167,EMP-1161,2025-10-14,Baltimore HQ,Finance,Equipment Malfunction,High,Incident at Baltimore HQ involving Equipment Malfunction - High severity,FALSE,5.2
INC-0168,EMP-1116,2025-10-15,Austin Hub,Human Resources,Near Miss,Low,Incident at Austin Hub involving Near Miss - Low severity,TRUE,8.9
INC-0169,EMP-1063,2025-10-16,Atlanta DC,Customer Service,Near Miss,Critical,Incident at Atlanta DC involving Near Miss - Critical severity,FALSE,2.2
INC-0170,EMP-1086,2025-10-16,Austin Hub,Human Resources,Ergonomic Strain,Low,Incident at Austin Hub involving Ergonomic Strain - Low severity,TRUE,3.6
INC-0171,EMP-1094,2025-10-16,Denver Office,Engineering,Fatigue-Related Error,High,Incident at Denver Office involving Fatigue-Related Error - High severity,FALSE,5.8
INC-0172,EMP-1261,2025-10-16,Atlanta DC,Finance,Slip/Fall,Low,Incident at Atlanta DC involving Slip/Fall - Low severity,FALSE,2.0
INC-0234,EMP-1180,2026-04-16,Austin Hub,Finance,Near Miss,Low,Incident at Austin Hub involving Near Miss - Low severity,FALSE,4.4
INC-0095,EMP-1092,2025-07-02,Atlanta DC,Engineering,Caught Between Objects,Low,Incident at Atlanta DC involving Caught Between Objects - Low severity,FALSE,9.4
INC-0096,EMP-1250,2025-07-02,Denver Office,Human Resources,Caught Between Objects,Low,Incident at Denver Office involving Caught Between Objects - Low severity,FALSE,8.5
INC-0097,EMP-1286,2025-07-02,Atlanta DC,Human Resources,Fatigue-Related Error,Medium,Incident at Atlanta DC involving Fatigue-Related Error - Medium severity,FALSE,6.3
INC-0098,EMP-1274,2025-07-04,Chicago Plant,Human Resources,Minor Cut/Bruise,Low,Incident at Chicago Plant involving Minor Cut/Bruise - Low severity,FALSE,7.1
INC-0099,EMP-1280,2025-07-04,Denver Office,Human Resources,Equipment Malfunction,Low,Incident at Denver Office involving Equipment Malfunction - Low severity,FALSE,3.3
INC-0100,EMP-1028,2025-07-05,Austin Hub,Engineering,Equipment Malfunction,Low,Incident at Austin Hub involving Equipment Malfunction - Low severity,FALSE,3.0
INC-0101,EMP-1251,2025-07-09,Atlanta DC,Sales,Heavy Lifting Injury,Low,Incident at Atlanta DC involving Heavy Lifting Injury - Low severity,TRUE,2.9
INC-0102,EMP-1069,2025-07-10,Atlanta DC,Customer Service,Forklift Collision,Medium,Incident at Atlanta DC involving Forklift Collision - Medium severity,TRUE,8.1
INC-0112,EMP-1296,2025-07-26,Atlanta DC,Engineering,Minor Cut/Bruise,Medium,Incident at Atlanta DC involving Minor Cut/Bruise - Medium severity,FALSE,5.5
INC-0113,EMP-1161,2025-07-28,Baltimore HQ,Finance,Repetitive Strain,High,Incident at Baltimore HQ involving Repetitive Strain - High severity,FALSE,3.9
INC-0114,EMP-1230,2025-07-28,Denver Office,Engineering,Ergonomic Strain,High,Incident at Denver Office involving Ergonomic Strain - High severity,FALSE,4.0
INC-0115,EMP-1180,2025-07-30,Austin Hub,Finance,Repetitive Strain,Critical,Incident at Austin Hub involving Repetitive Strain - Critical severity,TRUE,7.0
INC-0116,EMP-1160,2025-07-31,Chicago Plant,Customer Service,Repetitive Strain,Low,Incident at Chicago Plant involving Repetitive Strain - Low severity,FALSE,7.7
INC-0117,EMP-1169,2025-08-01,Denver Office,Customer Service,Repetitive Strain,Medium,Incident at Denver Office involving Repetitive Strain - Medium severity,FALSE,4.8
INC-0118,EMP-1174,2025-08-06,Denver Office,Human Resources,Repetitive Strain,Low,Incident at Denver Office involving Repetitive Strain - Low severity,FALSE,8.6
INC-0119,EMP-1041,2025-08-11,Chicago Plant,Warehouse & Logistics,Caught Between Objects,Low,Incident at Chicago Plant involving Caught Between Objects - Low severity,TRUE,7.9
INC-0120,EMP-1259,2025-08-11,Chicago Plant,Customer Service,Caught Between Objects,Low,Incident at Chicago Plant involving Caught Between Objects - Low severity,FALSE,1.6
INC-0056,EMP-1004,2025-08-08,Atlanta DC,Engineering,Equipment Malfunction,Low,Incident at Atlanta DC - Low severity - Engineering,FALSE,7.6
INC-0057,EMP-1224,2025-08-10,Chicago Plant,Engineering,Repetitive Strain,Medium,Incident at Chicago Plant - Medium severity - Engineering,FALSE,5.6
INC-0058,EMP-1015,2025-08-15,Austin Hub,Sales,Near Miss - Forklift,Low,Incident at Austin Hub - Low severity - Sales,TRUE,9.7
INC-0059,EMP-1038,2025-08-24,Chicago Plant,Warehouse & Logistics,Near Miss - Forklift,Low,Incident at Chicago Plant - Low severity - Warehouse & Logistics,TRUE,7.6
INC-0060,EMP-1181,2025-08-28,Atlanta DC,Customer Service,Near Miss - Forklift,Low,Incident at Atlanta DC - Low severity - Customer Service,TRUE,4.4
INC-0061,EMP-1295,2025-08-30,Denver Office,Customer Service,Ergonomic Strain,Low,Incident at Denver Office - Low severity - Customer Service,FALSE,8.5
INC-0062,EMP-1172,2025-09-09,Austin Hub,Sales,Heavy Lifting Injury,Low,Incident at Austin Hub - Low severity - Sales,TRUE,7.5
INC-0047,EMP-1017,2025-07-16,Atlanta DC,Sales,Repetitive Strain,Low,Incident at Atlanta DC - Low severity - Sales,FALSE,1.0
INC-0048,EMP-1153,2025-07-17,Baltimore HQ,Customer Service,Ergonomic Strain,Low,Incident at Baltimore HQ - Low severity - Customer Service,FALSE,1.2
INC-0049,EMP-1192,2025-07-17,Austin Hub,Warehouse & Logistics,Ergonomic Strain,Low,Incident at Austin Hub - Low severity - Warehouse & Logistics,TRUE,6.2
INC-0044,EMP-1179,2025-07-07,Denver Office,Warehouse & Logistics,Forklift Collision,Low,Incident at Denver Office - Low severity - Warehouse & Logistics,FALSE,2.0
INC-0045,EMP-1249,2025-07-11,Chicago Plant,Finance,Forklift Collision,Medium,Incident at Chicago Plant - Medium severity - Finance,FALSE,7.9
INC-0046,EMP-1164,2025-07-14,Denver Office,Sales,Slip/Fall,Low,Incident at Denver Office - Low severity - Sales,TRUE,7.9
INC-0063,EMP-1250,2025-09-09,Denver Office,Human Resources,Repetitive Strain,Medium,Incident at Denver Office - Medium severity - Human Resources,FALSE,7.5
INC-0064,EMP-1257,2025-09-15,Austin Hub,Sales,Slip/Fall,Low,Incident at Austin Hub - Low severity - Sales,TRUE,3.8
INC-0065,EMP-1007,2025-09-18,Austin Hub,Customer Service,Fatigue-Related Error,Medium,Incident at Austin Hub - Medium severity - Customer Service,FALSE,3.4
INC-0050,EMP-1023,2025-07-18,Austin Hub,Engineering,Caught Between Objects,Low,Incident at Austin Hub - Low severity - Engineering,FALSE,7.1
INC-0051,EMP-1240,2025-07-18,Denver Office,Warehouse & Logistics,Forklift Collision,Low,Incident at Denver Office - Low severity - Warehouse & Logistics,FALSE,9.3
INC-0052,EMP-1126,2025-07-25,Baltimore HQ,Sales,Fatigue-Related Error,Medium,Incident at Baltimore HQ - Medium severity - Sales,FALSE,8.3
INC-0053,EMP-1133,2025-07-26,Baltimore HQ,Sales,Caught Between Objects,Medium,Incident at Baltimore HQ - Medium severity - Sales,FALSE,8.1
INC-0054,EMP-1031,2025-08-04,Chicago Plant,Warehouse & Logistics,Heavy Lifting Injury,Low,Incident at Chicago Plant - Low severity - Warehouse & Logistics,FALSE,5.0
INC-0055,EMP-1098,2025-08-04,Atlanta DC,Sales,Forklift Collision,Low,Incident at Atlanta DC - Low severity - Sales,TRUE,6.0
INC-0001,EMP-1019,2025-07-11,Austin Hub,Human Resources,Slip/Fall,Low,Incident at Austin Hub - Low severity,FALSE,6.7
INC-0002,EMP-1054,2025-07-16,Baltimore HQ,Human Resources,Near Miss,Low,Incident at Baltimore HQ - Low severity,FALSE,2.6
INC-0003,EMP-1054,2025-07-19,Baltimore HQ,Human Resources,Near Miss,Low,Incident at Baltimore HQ - Low severity,FALSE,3.9
INC-0004,EMP-1020,2025-07-28,Austin Hub,Warehouse & Logistics,Near Miss,Low,Incident at Austin Hub - Low severity,FALSE,4.2
INC-0005,EMP-1118,2025-07-29,Austin Hub,Sales,Equipment Malfunction,Low,Incident at Austin Hub - Low severity,FALSE,6.2
INC-0006,EMP-1178,2025-08-01,Baltimore HQ,Customer Service,Ergonomic Strain,Low,Incident at Baltimore HQ - Low severity,FALSE,3.1
INC-0007,EMP-1119,2025-08-15,Chicago Plant,Sales,Ergonomic Strain,Low,Incident at Chicago Plant - Low severity,FALSE,4.4
INC-0008,EMP-1004,2025-08-19,Atlanta DC,Engineering,Slip/Fall,Medium,Incident at Atlanta DC - Medium severity,FALSE,5.2
INC-0009,EMP-1094,2025-09-07,Denver Office,Engineering,Ergonomic Strain,Low,Incident at Denver Office - Low severity,FALSE,2.8
